,name,job_title,industry,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,total employee estimate
1352,aldi, Customer Service,retail,"Warrington, North West England, England, England",5,2.0,3.0,3.0,2.0,2.0,268
1353,aldi, Customer Service,printing,"Warrington, North West England, England, England",5,2.0,3.0,3.0,2.0,2.0,7
1354,aldi, Shop Assistant,retail,"Coventry, England, England",2,2.0,3.0,3.0,3.0,3.0,268
1355,aldi, Shop Assistant,printing,"Coventry, England, England",2,2.0,3.0,3.0,3.0,3.0,7
1358,aldi, Deputy Manager,retail,"Neston, North West England, England, England",5,5.0,5.0,5.0,2.0,3.0,268
1359,aldi, Deputy Manager,printing,"Neston, North West England, England, England",5,5.0,5.0,5.0,2.0,3.0,7
1360,aldi, Deputy Manager,retail,"Derby, England, England",5,3.0,5.0,5.0,5.0,5.0,268
1361,aldi, Deputy Manager,printing,"Derby, England, England",5,3.0,5.0,5.0,5.0,5.0,7
1364,aldi, Industrial Placement Student,retail,"Atherstone, England, England",2,1.0,1.0,1.0,3.0,3.0,268
1365,aldi, Industrial Placement Student,printing,"Atherstone, England, England",2,1.0,1.0,1.0,3.0,3.0,7
1366,aldi, Retail Store Assistant,retail,"Neston, North West England, England, England",2,2.0,3.0,3.0,2.0,4.0,268
1367,aldi, Retail Store Assistant,printing,"Neston, North West England, England, England",2,2.0,3.0,3.0,2.0,4.0,7
1368,aldi, Store Associate,retail,"Trowbridge, England, England",4,2.0,3.0,4.0,3.0,2.0,268
1369,aldi, Store Associate,printing,"Trowbridge, England, England",4,2.0,3.0,4.0,3.0,2.0,7
1372,aldi, Store Assistant,retail,"Newcastle upon Tyne, England, England",5,5.0,5.0,5.0,5.0,5.0,268
1373,aldi, Store Assistant,printing,"Newcastle upon Tyne, England, England",5,5.0,5.0,5.0,5.0,5.0,7
1374,aldi, Shop Assistant,retail,"Llandudno, Wales, Wales",5,5.0,4.0,5.0,5.0,4.0,268
1375,aldi, Shop Assistant,printing,"Llandudno, Wales, Wales",5,5.0,4.0,5.0,5.0,4.0,7
